48, 0, 550, 550, 555, 14, 0, 16, 19, 48, 159, 2
59, 0, 600, 600, 605, 39, 0, 12, 19, 59, 26, 2
58, 0, 600, 600, 605, 34, 0, 10, 18, 58, 66, 2
57, 0, 600, 600, 605, 29, 0, 18, 15, 57, 74, 2
56, 0, 600, 600, 605, 24, 0, 19, 15, 56, 112, 2
55, 0, 600, 600, 605, 19, 0, 12, 14, 55, 90, 2
54, 0, 600, 600, 605, 14, 0, 10, 17, 54, 143, 2
65, 0, 650, 650, 655, 39, 24, 14, 11, 65, 65, 7
64, 0, 650, 650, 655, 34, 24, 10, 17, 64, 191, 5
63, 0, 650, 650, 655, 29, 24, 10, 10, 63, 62, 7
62, 0, 650, 650, 655, 24, 24, 10, 14, 62, 119, 5
61, 0, 650, 650, 655, 19, 24, 19, 19, 61, 108, 7
60, 0, 650, 650, 655, 14, 24, 17, 13, 60, 45, 7
71, 0, 700, 700, 705, 39, 24, 10, 18, 71, 21, 5
70, 0, 700, 700, 705, 34, 24, 11, 18, 70, 31, 5
69, 0, 700, 700, 705, 29, 24, 17, 12, 69, 117, 7
68, 0, 700, 700, 705, 24, 24, 12, 18, 68, 23, 5
67, 0, 700, 700, 705, 19, 24, 14, 17, 67, 65, 5
66, 0, 700, 700, 705, 14, 24, 18, 19, 66, 129, 5
77, 0, 750, 750, 755, 39, 19, 19, 19, 77, 160, 5
76, 0, 750, 750, 755, 34, 19, 17, 14, 76, 200, 5
75, 0, 750, 750, 755, 29, 19, 19, 16, 75, 152, 5
74, 0, 750, 750, 755, 24, 19, 17, 18, 74, 25, 5
73, 0, 750, 750, 755, 19, 19, 13, 16, 73, 175, 5
72, 0, 750, 750, 755, 14, 19, 13, 16, 72, 43, 5
83, 0, 800, 800, 805, 39, 24, 19, 15, 83, 42, 5
82, 0, 800, 800, 805, 34, 24, 14, 15, 82, 78, 5
81, 0, 800, 800, 805, 29, 24, 10, 12, 81, 33, 5
80, 0, 800, 800, 805, 24, 24, 11, 13, 80, 199, 5
79, 0, 800, 800, 805, 19, 19, 17, 15, 79, 64, 7
78, 0, 800, 800, 805, 14, 24, 11, 13, 78, 237, 5
89, 0, 850, 850, 855, 39, 19, 16, 17, 89, 100, 7
88, 0, 850, 850, 855, 34, 19, 15, 16, 88, 210, 5
87, 0, 850, 850, 855, 29, 19, 16, 16, 87, 137, 7
86, 0, 850, 850, 855, 24, 19, 15, 10, 86, 207, 5
85, 0, 850, 850, 855, 19, 19, 10, 17, 85, 52, 7
84, 0, 850, 850, 855, 14, 19, 17, 18, 84, 103, 7
95, 0, 900, 900, 905, 39, 24, 11, 15, 95, 94, 5
94, 0, 900, 900, 905, 34, 24, 11, 17, 94, 153, 5
93, 0, 900, 900, 905, 29, 24, 17, 11, 93, 107, 5
92, 0, 900, 900, 905, 24, 24, 12, 18, 92, 89, 5
91, 0, 900, 900, 905, 19, 24, 12, 18, 91, 192, 5
90, 0, 900, 900, 905, 14, 24, 16, 10, 90, 96, 5
101, 0, 950, 950, 955, 39, 19, 17, 17, 101, 131, 5
100, 0, 950, 950, 955, 34, 19, 11, 13, 100, 112, 5
99, 0, 950, 950, 955, 29, 19, 10, 13, 99, 220, 5
